Key,Context / Comment,Status,en,zh-Hans,zh-Hant,ja,ko,fr,es,it,pt-PT,nl,de,en-GB,el,th,vi,ms,id,hr
Key Stats,Section header,✅ Active,Key Stats,主要数据,主要數據,主な統計,주요 통계,Statistiques clés,Estadísticas clave,Statistiche chiave,Estatísticas principais,Belangrijkste statistieken,Wichtige Statistiken,Key Stats,Κύρια στατιστικά,สถิติหลัก,Số liệu chính,Statistik Utama,Statistik Utama,Ključne statistike
Language,Settings section header,✅ Active,Language,语言,語言,言語,언어,Langue,Idioma,Lingua,Idioma,Taal,Sprache,Language,Γλώσσα,ภาษา,Ngôn ngữ,Bahasa,Bahasa,Jezik
"Language, appearance, and preferences will be available in a future update.",Settings placeholder,✅ Active,"Language, appearance, and preferences will be available in a future update.",语言、外观与偏好设置将在后续版本中提供。,語言、外觀與偏好設定將在後續版本中提供。,言語、外観、環境設定は今後のアップデートで利用可能になります。,"언어, 화면 스타일 및 환경 설정은 향후 업데이트에서 지원될 예정입니다.","La langue, l'apparence et les préférences seront disponibles dans une prochaine mise à jour.","El idioma, la apariencia y las preferencias estarán disponibles en una próxima actualización.","Lingua, aspetto e preferenze saranno disponibili in un prossimo aggiornamento.","O idioma, a aparência e as preferências estarão disponíveis numa atualização futura.","Taal, weergave en voorkeuren komen beschikbaar in een toekomstige update.","Sprache, Erscheinungsbild und Einstellungen werden in einem zukünftigen Update verfügbar sein.","Language, appearance, and preferences will be available in a future update.","Η γλώσσα, η εμφάνιση και οι προτιμήσεις θα είναι διαθέσιμες σε μελλοντική ενημέρωση.",ภาษา รูปลักษณ์ และการตั้งค่าจะพร้อมใช้งานในการอัปเดตในอนาคต.,"Ngôn ngữ, giao diện và tùy chọn sẽ khả dụng trong bản cập nhật tương lai.","Bahasa, penampilan dan keutamaan akan tersedia dalam kemas kini masa hadapan.","Bahasa, tampilan, dan preferensi akan tersedia dalam pembaruan mendatang.","Jezik, izgled i postavke bit će dostupni u budućem ažuriranju."
Location,Section/field label,✅ Active,Location,地点,地點,場所,위치,Lieu,Ubicación,Posizione,Localização,Locatie,Ort,Location,Τοποθεσία,สถานที่,Địa điểm,Lokasi,Lokasi,Lokacija
Logbook,Tab bar label,✅ Active,Logbook,日志,日誌,ログ,로그북,Carnet,Diario,Giornale,Diário,Logboek,Logbuch,Logbook,Ημερολόγιο,สมุดบันทึก,Nhật ký,Log,Logbook,Logbook
m,Depth unit (metres),✅ Active,m,米,公尺,m,m,m,m,m,m,m,m,m,μ.,ม.,m,m,m,m
Manual Entry,Source format label,✅ Active,Manual Entry,手动创建,手動建立,手動入力,수동 입력,Saisie manuelle,Entrada manual,Inserimento manuale,Entrada manual,Handmatige invoer,Manuelle Eingabe,Manual Entry,Μη αυτόματη καταχώριση,กรอกข้อมูลเอง,Nhập thủ công,Kemasukan Manual,Entri Manual,Ručni unos
Map,Tab bar label,✅ Active,Map,地图,地圖,マップ,지도,Carte,Mapa,Mappa,Mapa,Kaart,Karte,Map,Χάρτης,แผนที่,Bản đồ,Peta,Peta,Karta
Map view coming soon,Map placeholder title,✅ Active,Map view coming soon,地图视图即将推出,地圖檢視即將推出,マップビューは近日公開予定,지도 뷰 곧 출시 예정,Vue carte bientôt disponible,Vista de mapa próximamente,Mappa in arrivo,Vista de mapa em breve,Kaartweergave binnenkort beschikbaar,Kartenansicht demnächst verfügbar,Map view coming soon,Η προβολή χάρτη έρχεται σύντομα,มุมมองแผนที่เร็ว ๆ นี้,Giao diện bản đồ sắp ra mắt,Paparan peta akan datang,Tampilan peta segera hadir,Prikaz karte stiže uskoro
Max Depth,Dive detail field,✅ Active,Max Depth,最大深度,最大深度,最大水深,최대 깊이,Profondeur max,Profundidad máx.,Profondità max,Profundidade máx.,Max. diepte,Maximale Tiefe,Max Depth,Μέγιστο βάθος,ความลึกสูงสุด,Độ sâu tối đa,Kedalaman Maks,Kedalaman Maksimum,Maks. dubina
New Dive,Sheet title,✅ Active,New Dive,新增潜水,新增潛水,新しいダイビング,새 다이빙,Nouvelle plongée,Nueva inmersión,Nuova immersione,Novo mergulho,Nieuwe duik,Neuer Tauchgang,New Dive,Νέα κατάδυση,ไดฟ์ใหม่,Chuyến lặn mới,Selam Baru,Penyelaman Baru,Novi uron
Next month,Calendar nav button,✅ Active,Next month,下个月,下個月,来月,다음 달,Mois suivant,Mes siguiente,Mese successivo,Mês seguinte,Volgende maand,Nächster Monat,Next month,Επόμενος μήνας,เดือนถัดไป,Tháng sau,Bulan depan,Bulan depan,Sljedeći mjesec
Nitrox,Gas type,✅ Active,Nitrox,富氧空气,富氧空氣,ナイトロックス,나이트록스,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,ไนตรอกซ์,Nitrox,Nitrox,Nitrox,Nitrox
No dives,Empty state,✅ Active,No dives,无潜水记录,無潛水記錄,ダイビングなし,다이빙 없음,Aucune plongée,Sin inmersiones,Nessuna immersione,Sem mergulhos,Geen duiken,Keine Tauchgänge,No dives,Χωρίς καταδύσεις,ไม่มีไดฟ์,Không có chuyến lặn,Tiada selam,Tidak ada penyelaman,Nema urona
No dives on this date.,Calendar empty state,✅ Active,No dives on this date.,此日期没有潜水记录。,這一天沒有潛水記錄。,この日のダイビングはありません。,이 날짜에 다이빙이 없습니다.,Aucune plongée à cette date.,No hay inmersiones en esta fecha.,Nessuna immersione in questa data.,Sem mergulhos nesta data.,Geen duiken op deze datum.,Keine Tauchgänge an diesem Datum.,No dives on this date.,Χωρίς καταδύσεις αυτή την ημερομηνία.,ไม่มีไดฟ์ในวันนี้,Không có chuyến lặn vào ngày này.,Tiada selam pada tarikh ini.,Tidak ada penyelaman pada tanggal ini.,Nema urona na ovaj datum.
No dives yet,Empty logbook title,✅ Active,No dives yet,暂无潜水记录,尚無潛水記錄,ダイビングがまだありません,아직 다이빙이 없습니다,Aucune plongée pour le moment,Aún no hay inmersiones,Ancora nessuna immersione,Ainda sem mergulhos,Nog geen duiken,Noch keine Tauchgänge,No dives yet,Δεν υπάρχουν ακόμη καταδύσεις,ยังไม่มีไดฟ์,Chưa có chuyến lặn nào,Tiada selam lagi,Belum ada penyelaman,Još nema urona
No GPS Dive Sites,Map empty state title,✅ Active,No GPS Dive Sites,无 GPS 潜点,無 GPS 潛點,GPSなしのダイビングポイント,GPS 다이빙 사이트 없음,Aucun site de plongée GPS,Sin puntos de inmersión GPS,Nessun punto di immersione GPS,Sem locais de mergulho GPS,Geen GPS-duiklocaties,Keine GPS-Tauchplätze,No GPS Dive Sites,Χωρίς τοποθεσίες κατάδυσης GPS,ไม่มีจุดดำน้ำ GPS,Không có địa điểm lặn GPS,Tiada Tapak Selam GPS,Tidak Ada Lokasi Penyelaman GPS,Nema ronilačkih lokacija s GPS-om
No notes recorded.,Notes empty state,✅ Active,No notes recorded.,未填写备注。,未填寫備註。,メモが記録されていません。,기록된 메모가 없습니다.,Aucune note enregistrée.,Sin notas registradas.,Nessuna nota registrata.,Sem notas registadas.,Geen notities geregistreerd.,Keine Notizen erfasst.,No notes recorded.,Δεν καταγράφηκαν σημειώσεις.,ไม่มีการบันทึกบันทึกย่อ,Không có ghi chú nào được ghi lại.,Tiada nota direkodkan.,Tidak ada catatan yang direkam.,Nema zabilježenih napomena.
No previous purchase found.,Alert message,✅ Active,No previous purchase found.,未找到先前的购买记录。,未找到先前的購買記錄。,以前の購入履歴が見つかりません。,이전 구매 내역을 찾을 수 없습니다.,Aucun achat antérieur trouvé.,No se encontró ninguna compra anterior.,Nessun acquisto precedente trovato.,Nenhum histórico de compra encontrado.,Geen eerdere aankoop gevonden.,Keine vorherigen Käufe gefunden.,No previous purchase found.,Δεν βρέθηκε προηγούμενη αγορά.,ไม่พบประวัติการซื้อก่อนหน้า,Không tìm thấy giao dịch mua trước đó.,Tiada pembelian terdahulu ditemui.,Tidak ada pembelian sebelumnya ditemukan.,Nije pronađena prethodna kupnja.
Notes,Section/field label,✅ Active,Notes,备注,備註,メモ,메모,Notes,Notas,Note,Notas,Notities,Notizen,Notes,Σημειώσεις,บันทึกย่อ,Ghi chú,Nota,Catatan,Napomene
OK,Alert button,✅ Active,OK,确定,確定,OK,확인,OK,Aceptar,OK,OK,OK,OK,OK,OK,ตกลง,OK,OK,OK,U redu
One-time purchase — no subscription.,Sheet subtitle,✅ Active,One-time purchase — no subscription.,一次性购买，无需订阅。,一次性購買，無需訂閱。,一回限りの購入 — サブスクリプションなし,일회성 구매 — 구독 없음,Achat unique — sans abonnement,Compra única — sin suscripción,Acquisto una tantum — nessun abbonamento,Compra única — sem subscrição,Eenmalige aankoop — geen abonnement,Einmaliger Kauf — kein Abonnement,One-time purchase — no subscription.,Αγορά μία φορά — χωρίς συνδρομή,ซื้อครั้งเดียว — ไม่มีระบบสมาชิก,Mua một lần — không cần đăng ký,Pembelian sekali sahaja — tiada langganan,Pembelian sekali — tanpa langganan,Jednokratna kupnja — bez pretplate
One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,Settings footer (\n = newline),❌ Missing,One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,"一次性购买，无需订阅。
解锁专业版即可备份并导出所有潜水记录。","一次性購買，無需訂閱。
解鎖進階版即可備份並匯出所有潛水記錄。",一回限りの購入。サブスクリプションなし。\nすべてのダイビングをバックアップおよび書き出すには、プレミアムのロックを解除してください。,일회성 구매. 구독 없음.\n모든 다이빙을 백업하고 내보내려면 프리미엄을 잠금 해제하세요.,Achat unique. Sans abonnement.\nDéverrouillez le Premium pour sauvegarder et exporter toutes vos plongées.,Compra única. Sin suscripción.\nDesbloquea Premium para respaldar y exportar todas tus inmersiones.,Acquisto una tantum. Nessun abbonamento.\nSblocca Premium per eseguire il backup ed esportare tutte le tue immersioni.,Compra única. Sem subscrição.\nDesbloqueie o Premium para salvaguardar e exportar todos os seus mergulhos.,Eenmalige aankoop. Geen abonnement.\nOntgrendel Premium om al je duiken te back-uppen en te exporteren.,"Einmaliger Kauf. Kein Abonnement.\nSchalten Sie Premium frei, um alle Ihre Tauchgänge zu sichern und zu exportieren.",One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,Αγορά μία φορά. Χωρίς συνδρομή.\nΞεκλειδώστε το Premium για να δημιουργήσετε αντίγραφα ασφαλείας και να εξαγάγετε όλες τις καταδύσεις σας.,ซื้อครั้งเดียว ไม่มีระบบสมาชิก\nปลดล็อกพรีเมียมเพื่อสำรองข้อมูลและส่งออกไดฟ์ทั้งหมดของคุณ,Mua một lần. Không cần đăng ký.\nMở khóa Premium để sao lưu và xuất tất cả các chuyến lặn của bạn.,Pembelian sekali sahaja. Tiada langganan.\nBuka kunci Premium untuk menyandar dan mengeksport semua selam anda.,Pembelian sekali. Tanpa langganan.\nBuka kunci Premium untuk mencadangkan dan mengeksport semua penyelaman Anda.,Jednokratna kupnja. Bez pretplate.\nOtključajte Premium za sigurnosnu kopiju i izvoz svih svojih urona.
Open Source Licenses,Nav link label,✅ Active,Open Source Licenses,开源授权,開源授權,オープンソースライセンス,오픈 소스 라이선스,Licences open source,Licencias de código abierto,Licenze open source,Licenças de código aberto,Opensource-licenties,Open-Source-Lizenzen,Open Source Licenses,Άδειες ανοιχτού κώδικα,ใบอนุญาตโอเพนซอร์ส,Giấy phép nguồn mở,Lesen Sumber Terbuka,Lisensi Open Source,Licence otvorenog izvornog koda
Opens file picker to choose a dive log file,a11y hint,✅ Active,Opens file picker to choose a dive log file,打开文件选择器以选择潜水日志文件,開啟檔案選取器以選擇潛水日誌檔案,ファイルピッカーを開いてダイビングログファイルを選択します,파일 선택기를 열어 다이빙 로그 파일을 선택합니다,Ouvre le sélecteur de fichiers pour choisir un carnet de plongée,Abre el selector de archivos para elegir un diario de inmersiones,Apre il selettore di file per scegliere un giornale di immersione,Abre o seletor de ficheiros para escolher um ficheiro de diário de mergulhos,Opent de bestandskiezer om een duiklogboekbestand te kiezen,"Öffnet die Dateiauswahl, um eine Taucherlogbuch-Datei auszuwählen",Opens file picker to choose a dive log file,Ανοίγει τον επιλογέα αρχείων για την επιλογή αρχείου καταγραφής κατάδυσης,เปิดตัวเลือกไฟล์เพื่อเลือกไฟล์บันทึกการดำน้ำ,Mở trình chọn tệp để chọn tệp nhật ký lặn,Membuka pemilih fail untuk memilih fail log selam,Membuka pemilih file untuk memilih file logbook penyelaman,Otvara alat za odabir datoteka za odabir ronilačkog logbooka
Opens iOS Settings to change the app display language,a11y hint,✅ Active,Opens iOS Settings to change the app display language,打开 iOS 设置以更改 App 显示语言,開啟 iOS 設定以變更 App 顯示語言,iOSの設定を開いてアプリの表示言語を変更します,iOS 설정을 열어 앱 표시 언어를 변경합니다,Ouvre les réglages iOS pour modifier la langue d'affichage de l'app,Abre los ajustes de iOS para cambiar el idioma de la app,Apre le impostazioni iOS per modificare la lingua dell'app,Abre as Definições do iOS para alterar o idioma de exibição da app,Opent de iOS-instellingen om de weergavetaal van de app te wijzigen,"Öffnet die iOS-Einstellungen, um die App-Anzeigesprache zu ändern",Opens iOS Settings to change the app display language,Ανοίγει τις Ρυθμίσεις iOS για την αλλαγή της γλώσσας εμφάνισης της εφαρμογής,เปิดการตั้งค่า iOS เพื่อเปลี่ยนภาษาที่แสดงของแอป,Mở Cài đặt iOS để thay đổi ngôn ngữ hiển thị của ứng dụng,Membuka Tetapan iOS untuk mengubah bahasa paparan aplikasi,Membuka Pengaturan iOS untuk mengubah bahasa tampilan aplikasi,Otvara iOS postavke za promjenu jezika prikaza aplikacije
Premium,Settings section header,✅ Active,Premium,专业版,進階版,プレミアム,프리미엄,Premium,Premium,Premium,Premium,Premium,Premium,Premium,Premium,พรีเมียม,Premium,Premium,Premium,Premium
Premium restored successfully.,Alert message,✅ Active,Premium restored successfully.,专业版已成功恢复。,進階版已成功回復。,プレミアムが正常に復元されました。,프리미엄이 성공적으로 복원되었습니다.,Premium restauré avec succès.,Premium restaurado con éxito.,Premium ripristinato con successo.,Premium restaurado com sucesso.,Premium succesvol hersteld.,Premium erfolgreich wiederhergestellt.,Premium restored successfully.,Το Premium αποκαταστάθηκε επιτυχώς.,คืนค่าพรีเมียมสำเร็จแล้ว,Đã khôi phục thành công Premium.,Premium berjaya dipulihkan.,Premium berhasil dipulihkan.,Premium uspješno obnovljen.
Premium Unlocked,Row label,✅ Active,Premium Unlocked,专业版已解锁,進階版已解鎖,プレミアムロック解除済み,프리미엄 잠금 해제됨,Premium déverrouillé,Premium desbloqueado,Premium sbloccato,Premium desbloqueado,Premium ontgrendeld,Premium freigeschaltet,Premium Unlocked,Το Premium ξεκλειδώθηκε,ปลดล็อกพรีเมียมแล้ว,Đã mở khóa Premium,Premium Dibuka Kunci,Premium Unlocked,Premium otključan
"Premium unlocked — Ads removed, Export enabled.",Section footer,✅ Active,"Premium unlocked — Ads removed, Export enabled.",专业版已解锁 — 广告已移除，导出已启用。,進階版已解鎖 — 廣告已移除，匯出已啟用。,プレミアムロック解除済み — 広告が削除され、書き出しが有効になりました。,"프리미엄 잠금 해제됨 — 광고 제거, 내보내기 활성화.","Premium déverrouillé — Publicités supprimées, export activé.","Premium desbloqueado: anuncios eliminados, exportación activada.","Premium sbloccato — Annunci rimossi, esportazione abilitata.","Premium desbloqueado — Anúncios removidos, exportação ativada.","Premium ontgrendeld — Advertenties verwijderd, export ingeschakeld.","Premium freigeschaltet — Werbung entfernt, Export aktiviert.","Premium unlocked — Ads removed, Export enabled.","Premium ξεκλειδωμένο — Διαφημίσεις αφαιρέθηκαν, Εξαγωγή ενεργοποιήθηκε.",ปลดล็อกพรีเมียมแล้ว — โฆษณาถูกนำออก เปิดใช้งานการส่งออกแล้ว,"Đã mở khóa Premium — Đã gỡ bỏ quảng cáo, Đã bật tính năng xuất.","Premium dibuka kunci — Iklan dibuang, Eksport diaktifkan.","Premium unlocked — Iklan dihapus, Ekspor diaktifkan.","Premium otključan — Oglasi uklonjeni, izvoz omogućen."
Previous month,Calendar nav button,✅ Active,Previous month,上个月,上個月,先月,지난달,Mois précédent,Mes anterior,Mese precedente,Mês anterior,Vorige maand,Letzter Monat,Previous month,Προηγούμενος μήνας,เดือนก่อนหน้า,Tháng trước,Bulan lepas,Bulan sebelumnya,Prethodni mjesec
Remove Ads + Enable Export,Purchase row label,✅ Active,Remove Ads + Enable Export,移除广告 + 启用导出,移除廣告 + 啟用匯出,広告を削除 + 書き出しを有効化,광고 제거 + 내보내기 활성화,Supprimer les pubs + Activer l'export,Quitar anuncios y activar exportación,Rimuovi annunci + Abilita esportazione,Remover anúncios + Ativar exportação,Advertenties verwijderen + Export inschakelen,Werbung entfernen + Export aktivieren,Remove Ads + Enable Export,Αφαίρεση διαφημίσεων + Ενεργοποίηση εξαγωγής,นำโฆษณาออก + เปิดใช้งานการส่งออก,Gỡ bỏ quảng cáo + Bật tính năng xuất,Buang Iklan + Aktifkan Eksport,Hapus Iklan + Aktifkan Ekspor,Ukloni oglase + Omogući izvoz
Remove All Ads,Feature row title,✅ Active,Remove All Ads,移除所有广告,移除所有廣告,すべての広告を削除,모든 광고 제거,Supprimer toutes les publicités,Quitar todos los anuncios,Rimuovi tutti gli annunci,Remover todos os anúncios,Verwijder alle advertenties,Alle Werbung entfernen,Remove All Ads,Αφαίρεση όλων των διαφημίσεων,นำโฆษณาออกทั้งหมด,Gỡ bỏ tất cả quảng cáo,Buang Semua Iklan,Hapus Semua Iklan,Ukloni sve oglase
Restore,Alert title,✅ Active,Restore,恢复,回復,復元,복원,Restaurer,Restaurar,Ripristina,Restaurar,Herstel,Wiederherstellen,Restore,Αποκατάσταση,คืนค่า,Khôi phục,Pulihkan,Pulihkan,Obnovi
Restore Purchase,Button label,✅ Active,Restore Purchase,恢复购买,回復購買,購入履歴を復元,구매 내역 복원,Restaurer l'achat,Restaurar compra,Ripristina acquisto,Restaurar compra,Aankoop herstellen,Kauf wiederherstellen,Restore Purchase,Ανάκτηση αγοράς,คืนค่าการซื้อ,Khôi phục giao dịch mua,Pulihkan Pembelian,Pulihkan Pembelian,Obnovi kupnju
Save,Save button,✅ Active,Save,存储,儲存,保存,저장,Enregistrer,Guardar,Salva,Guardar,Bewaar,Sichern,Save,Αποθήκευση,บันทึก,Lưu,Simpan,Simpan,Spremi
Search location…,Search bar placeholder,✅ Active,Search location…,搜索地点…,搜尋地點…,場所を検索…,위치 검색…,Rechercher un lieu…,Buscar ubicación…,Cerca posizione…,Pesquisar localização…,Zoek locatie…,Ort suchen…,Search location…,Αναζήτηση τοποθεσίας…,ค้นหาสถานที่…,Tìm kiếm địa điểm…,Cari lokasi…,Cari lokasi…,Pretraži lokaciju…
Seawater,Dive environment type,✅ Active,Seawater,海水,海水,海水,해수,Eau de mer,Agua de mar,Acqua di mare,Água salgada,Zeewater,Meerwasser,Seawater,Θαλασσινό νερό,น้ำทะเล,Nước biển,Air Laut,Air Laut,Morska voda
Select a date to see dives.,Calendar hint,✅ Active,Select a date to see dives.,选择日期查看潜水记录。,選擇日期查看潛水記錄。,日付を選択してダイビングを表示します。,다이빙을 보려면 날짜를 선택하세요.,Sélectionnez une date pour voir les plongées.,Selecciona una fecha para ver las inmersiones.,Seleziona una data per vedere le immersioni.,Selecione uma data para ver os mergulhos.,Selecteer een datum om duiken te bekijken.,"Wählen Sie ein Datum, um Tauchgänge anzuzeigen.",Select a date to see dives.,Επιλέξτε ημερομηνία για να δείτε καταδύσεις.,เลือกวันที่เพื่อดูไดฟ์,Chọn một ngày để xem các chuyến lặn.,Pilih tarikh untuk melihat selam.,Pilih tanggal untuk melihat penyelaman.,Odaberite datum za prikaz urona.
Select File,Import button,✅ Active,Select File,选择文件,選擇檔案,ファイルを選択,파일 선택,Sélectionner un fichier,Seleccionar archivo,Seleziona file,Selecionar ficheiro,Selecteer bestand,Datei auswählen,Select File,Επιλογή αρχείου,เลือกไฟล์,Chọn tệp,Pilih Fail,Pilih File,Odaberi datoteku
Settings,Tab bar / nav title,✅ Active,Settings,设置,設定,設定,설정,Réglages,Ajustes,Impostazioni,Definições,Instellingen,Einstellungen,Settings,Ρυθμίσεις,การตั้งค่า,Cài đặt,Tetapan,Pengaturan,Postavke
Settings coming soon,Placeholder title,✅ Active,Settings coming soon,设置即将推出,設定即將推出,設定機能は近日公開予定,설정 곧 출시 예정,Réglages bientôt disponibles,Ajustes próximamente,Impostazioni in arrivo,Definições em breve,Instellingen binnenkort beschikbaar,Einstellungen demnächst verfügbar,Settings coming soon,Οι ρυθμίσεις έρχονται σύντομα,การตั้งค่าเร็ว ๆ นี้,Cài đặt sắp ra mắt,Tetapan akan datang,Pengaturan segera hadir,Postavke stižu uskoro
Share File,ShareLink label,❌ Missing,Share File,共享文件,共享檔案,ファイルを共有,파일 공유,Partager le fichier,Compartir archivo,Condividi file,Partilhar ficheiro,Deel bestand,Datei teilen,Share File,Κοινοποίηση αρχείου,แชร์ไฟล์,Chia sẻ tệp,Kongsi Fail,Bagikan File,Podijeli datoteku
Source Format,Dive detail field,✅ Active,Source Format,来源格式,來源格式,ソース形式,소스 형식,Format source,Formato de origen,Formato sorgente,Formato de origem,Bronformaat,Quellformat,Source Format,Μορφή προέλευσης,รูปแบบแหล่งที่มา,Định dạng nguồn,Format Sumber,Format Sumber,Izvorni format
Supported Formats,Import wizard section,✅ Active,Supported Formats,支持格式,支援格式,対応形式,지원 형식,Formats pris en charge,Formatos compatibles,Formati supportati,Formatos suportados,Ondersteunde formaten,Unterstützte Formate,Supported Formats,Υποστηριζόμενες μορφές,รูปแบบที่รองรับ,Định dạng hỗ trợ,Format Disokong,Format yang Didukung,Podržani formati
Switch to Calendar View,a11y label,✅ Active,Switch to Calendar View,切换至日历视图,切換至日曆檢視,カレンダービューに切り替え,달력 뷰로 전환,Passer à la vue calendrier,Cambiar a vista de calendario,Passa alla vista calendario,Mudar para Vista de Calendário,Schakel over naar kalenderweergave,Zur Kalenderansicht wechseln,Switch to Calendar View,Αλλαγή σε προβολή ημερολογίου,เปลี่ยนเป็นมุมมองปฏิทิน,Chuyển sang giao diện lịch,Tukar ke Paparan Kalendar,Beralih ke Tampilan Kalender,Prebaci na prikaz kalendara
Switch to Hybrid Map,a11y label,✅ Active,Switch to Hybrid Map,切换至卫星混合地图,切換至衛星混合地圖,ハイブリッドマップに切り替え,하이브리드 지도로 전환,Passer à la carte hybride,Cambiar a mapa híbrido,Passa alla mappa ibrida,Mudar para Mapa Híbrido,Schakel over naar hybride kaart,Zur Satellitenkarte wechseln,Switch to Hybrid Map,Αλλαγή σε υβριδικό χάρτη,เปลี่ยนเป็นแผนที่ไฮบริด,Chuyển sang bản đồ hỗn hợp,Tukar ke Peta Hibrid,Beralih ke Peta Hibrid,Prebaci na hibridnu kartu
Switch to List View,a11y label,✅ Active,Switch to List View,切换至列表视图,切換至清單檢視,リストビューに切り替え,목록 뷰로 전환,Passer à la vue liste,Cambiar a vista de lista,Passa alla vista elenco,Mudar para Vista de Lista,Schakel over naar lijstweergave,Zur Listenansicht wechseln,Switch to List View,Αλλαγή σε προβολή λίστας,เปลี่ยนเป็นมุมมองรายการ,Chuyển sang giao diện danh sách,Tukar ke Paparan Senarai,Beralih ke Tampilan Daftar,Prebaci na prikaz popisa
Switch to Standard Map,a11y label,✅ Active,Switch to Standard Map,切换至标准地图,切換至標準地圖,標準マップに切り替え,표준 지도로 전환,Passer à la carte standard,Cambiar a mapa estándar,Passa alla mappa standard,Mudar para Mapa Padrão,Schakel over naar standaardkaart,Zur Standardkarte wechseln,Switch to Standard Map,Αλλαγή σε τυπικό χάρτη,เปลี่ยนเป็นแผนที่มาตรฐาน,Chuyển sang bản đồ tiêu chuẩn,Tukar ke Peta Standard,Beralih ke Peta Standar,Prebaci na standardnu kartu
Try Again,Retry button,✅ Active,Try Again,重试,重試,もう一度お試しください,다시 시도,Réessayer,Reintentar,Riprova,Tentar novamente,Probeer opnieuw,Erneut versuchen,Try Again,Δοκιμάστε ξανά,ลองอีกครั้ง,Thử lại,Cuba Lagi,Coba Lagi,Pokušaj ponovno
UDDF (.uddf),Export format button,✅ Active,UDDF (.uddf),UDDF 格式 (.uddf),UDDF 格式 (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf),UDDF (.uddf)
Unknown Location,Fallback location name,✅ Active,Unknown Location,未知地点,未知地點,場所不明,알 수 없는 위치,Lieu inconnu,Ubicación desconocida,Posizione sconosciuta,Localização desconhecida,Onbekende locatie,Unbekannter Ort,Unknown Location,Άγνωστη τοποθεσία,ไม่ทราบสถานที่,Địa điểm không xác định,Lokasi Tidak Diketahui,Lokasi Tidak Diketahui,Nepoznata lokacija
Use the Import tab to add your dive computer logs.,Empty logbook description,✅ Active,Use the Import tab to add your dive computer logs.,前往「导入」标签页添加潜水电脑日志。,前往「匯入」標籤頁來新增潛水電腦日誌。,「取り込み」タブからダイビングコンピューターのログを追加してください。,가져오기 탭을 사용하여 다이빙 컴퓨터 로그를 추가하세요.,Utilisez l'onglet Importer pour ajouter les carnets de votre ordinateur.,Usa la pestaña Importar para añadir los diarios de tu ordenador de buceo.,Usa la scheda Importa per aggiungere i registri del tuo computer subacqueo.,Utilize o separador Importar para adicionar os registos do seu computador de mergulho.,Gebruik het tabblad Importeer om de logboeken van je duikcomputer toe te voegen.,"Verwenden Sie den Import-Tab, um Ihre Tauchcomputer-Logbücher hinzuzufügen.",Use the Import tab to add your dive computer logs.,Χρησιμοποιήστε την καρτέλα Εισαγωγή για να προσθέσετε καταγραφές από το καταδυτικό σας κομπιούτερ.,ใช้แท็บนำเข้าเพื่อเพิ่มบันทึกจากคอมพิวเตอร์ดำน้ำของคุณ,Sử dụng tab Nhập để thêm nhật ký máy tính lặn của bạn.,Gunakan tab Import untuk menambah log komputer selam anda.,Gunakan tab Impor untuk menambahkan logbook komputer selam Anda.,Upotrijebite karticu Uvoz za dodavanje zapisa s ronilačkog računala.
Version,Settings row label,✅ Active,Version,版本,版本,バージョン,버전,Version,Versión,Versione,Versão,Versie,Version,Version,Έκδοση,เวอร์ชัน,Phiên bản,Versi,Versi,Verzija
Version %@,a11y label,✅ Active,Version %@,版本 %1$@,版本 %1$@,バージョン %1$@,버전 %1$@,Version %1$@,Versión %1$@,Versione %1$@,Versão %1$@,Versie %1$@,Version %1$@,Version %1$@,Έκδοση %1$@,เวอร์ชัน %1$@,Phiên bản %1$@,Versi %1$@,Versi %1$@,Verzija %1$@
Water Temp,Dive detail field,✅ Active,Water Temp,水温,水溫,水温,수온,Temp. eau,Temp. agua,Temp. acqua,Temp. água,Watertemp.,Wassertemp.,Water Temp,Θερμ. νερού,อุณหภูมิน้ำ,Nhiệt độ nước,Suhu Air,Suhu Air,Temp. vode
Water Type,Picker label,✅ Active,Water Type,水域类型,水域類型,水の種類,수질 유형,Type d'eau,Tipo de agua,Tipo di acqua,Tipo de água,Watertype,Wasserart,Water Type,Τύπος νερού,ประเภทน้ำ,Loại nước,Jenis Air,Jenis Air,Vrsta vode
Deepest,Dive detail field,✅ Active,Deepest,最深,最深,最深,최고 수심,Le plus profond,Más profundo,Più profondo,Mais profundo,Diepste,Tiefste,Deepest,Βαθύτερη,ลึกที่สุด,Sâu nhất,Paling dalam,Terdalam,Najdublje
Dives,Header or label,✅ Active,Dives,潜水,潛水,ダイビング,다이빙,Plongées,Inmersiones,Immersioni,Mergulhos,Duiken,Tauchgänge,Dives,Καταδύσεις,ไดฟ์,Lần lặn,Selaman,Penyelaman,Uroni
